Prog_Level,Prog_Comfort,Prog_Proficiency,Math_Level,Math_Comfort,Math_Proficiency,Stat_Level,Stat_Comfort,Stat_Proficiency,Num_Of_UpperDiv,Course_Sum,Score_Sum,Score_Avg,PSTAT100,PSTAT115,PSTAT120,PSTAT122,PSTAT126,PSTAT131,PSTAT160,PSTAT174,CS9,CS16,LING104,LING110,LING111,CS130,CS165,ECON145,PSTAT127,PSTAT134,CS5
3,4,8,2,3,4.5,3,4,8,9+,8,19.8,2.48,1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0
2,4,6,2,3,4.5,3,5,10,8-Jun,5,12.2,2.44,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
2,3,4.5,2,3,4.5,2,3,4.5,8-Jun,5,12,2.4,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2,4,6,3,5,10,3,5,10,9+,5,12,2.4,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0
2,3,4.5,3,4,8,3,4,8,9+,7,16.4,2.34,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
3,5,10,3,5,10,3,5,10,9+,10,23.2,2.32,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0
2,2,3,2,4,6,2,3,4.5,9+,7,16,2.29,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
3,4,8,3,5,10,3,5,10,9+,5,11.4,2.28,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
2,3,4.5,3,5,10,3,5,10,8-Jun,6,13.6,2.27,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2,4,6,2,3,4.5,2,3,4.5,9+,11,25,2.27,0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0
2,4,6,1,3,3,2,3,4.5,5-Mar,6,13.6,2.27,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
2,4,6,2,5,7.5,3,4,8,9+,9,20.2,2.24,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0
3,4,8,2,4,6,3,4,8,9+,7,15.6,2.23,0,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0
3,4,8,3,5,10,3,4,8,8-Jun,6,13.4,2.23,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
3,4,8,2,3,4.5,2,3,4.5,8-Jun,6,13.4,2.23,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
3,3,6,3,4,8,3,4,8,9+,6,13.4,2.23,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
3,5,10,2,4,6,3,5,10,9+,13,28.6,2.2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
3,5,10,2,4,6,3,4,8,8-Jun,3,6.6,2.2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,3,4.5,3,4,8,3,4,8,9+,4,8.8,2.2,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,4,6,3,3,6,3,4,8,9+,9,19.8,2.2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
3,5,10,2,5,7.5,3,5,10,9+,9,19.8,2.2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
3,5,10,3,4,8,3,4,8,9+,7,15.4,2.2,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0
3,3,6,3,5,10,3,5,10,9+,6,13,2.17,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
2,4,6,3,4,8,3,4,8,8-Jun,9,19.4,2.16,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0
2,4,6,2,4,6,3,4,8,9+,8,17.2,2.15,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0
3,5,10,3,5,10,3,5,10,9+,7,15,2.14,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
2,3,4.5,3,5,10,3,5,10,9+,8,16.8,2.1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
2,5,7.5,3,5,10,2,5,7.5,9+,8,16.8,2.1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1
3,5,10,3,5,10,3,4,8,9+,4,8.4,2.1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,4,8,3,5,10,3,5,10,8-Jun,6,12.6,2.1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
2,3,4.5,2,3,4.5,2,3,4.5,8-Jun,5,10.4,2.08,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2,4,6,2,3,4.5,2,3,4.5,8-Jun,6,12.4,2.07,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
2,4,6,1,4,4,2,4,6,8-Jun,6,12.4,2.07,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
2,4,6,2,4,6,2,5,7.5,5-Mar,6,12.4,2.07,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
3,4,8,2,4,6,3,5,10,8-Jun,6,12.4,2.07,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
2,4,6,3,5,10,3,4,8,5-Mar,3,6.2,2.07,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,4,6,2,3,4.5,3,4,8,9+,4,8.2,2.05,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2,3,4.5,2,4,6,2,4,6,8-Jun,5,10.2,2.04,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,3,6,3,3,6,3,4,8,9+,4,8,2,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,3,3,1,4,4,1,3,3,8-Jun,4,8,2,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,4,8,3,3,6,3,3,6,5-Mar,4,8,2,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
2,5,7.5,2,4,6,2,3,4.5,9+,5,10,2,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,5,10,2,4,6,3,4,8,9+,6,12,2,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2,4,6,3,5,10,3,5,10,9+,6,11.8,1.97,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,4,6,3,4,8,3,5,10,5-Mar,3,5.8,1.93,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,4.5,3,5,10,2,4,6,9+,5,9.6,1.92,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,3,4.5,3,3,6,3,3,6,5-Mar,5,9.6,1.92,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,3,4.5,2,3,4.5,2,4,6,5-Mar,5,9.6,1.92,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,3,4.5,2,4,6,2,4,6,5-Mar,8,15,1.88,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1
2,4,6,2,4,6,1,2,2,0-2,3,5.2,1.73,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2,4,6,2,4,6,1,3,3,0-2,2,3.2,1.6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
